Race/Ethnicity,Group,Year,Sex,County,Polk,Site,Cancer,SE,Lower CI,Upper CI,Count,Rate~Ratio,Ratio~Lower CI,Ratio~Upper CI,p,Pop,Sig
Non-Hispanic White,White,2003-2007,Female,Not Polk,Not Polk,Oral Cavity and Pharynx,6.2,0.3,5.6,6.8,488,,,,,"6,039,043",
Non-Hispanic Black,Black,2003-2007,Female,Not Polk,Not Polk,Oral Cavity and Pharynx,6.4,2.8,2.1,14.6,6,1.0331,0.3338,2.3803,1.0000,"139,140",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Female,Not Polk,Not Polk,Oral Cavity and Pharynx,5.4,5.4,0.1,41.2,1,0.873,0.022,6.7186,1.0000,"21,143",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Female,Not Polk,Not Polk,Oral Cavity and Pharynx,2.5,1.9,0.3,15.7,2,0.4104,0.0409,2.564,0.5909,"86,766",0
Hispanic (All Races),Hispanic,2003-2007,Female,Not Polk,Not Polk,Oral Cavity and Pharynx,1.7,1.7,0,8,1,0.2771,0.007,1.2986,0.1352,"215,730",0
Non-Hispanic White,White,2008-2012,Male and Female,Not Polk,Not Polk,Oral Cavity and Pharynx,12.2,0.3,11.7,12.8,"1,864",,,,,"11,867,227",
Non-Hispanic Black,Black,2008-2012,Male and Female,Not Polk,Not Polk,Oral Cavity and Pharynx,9.0,2.1,5.4,14.2,21,0.7397,0.4424,1.1646,0.2233,"369,675",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male and Female,Not Polk,Not Polk,Oral Cavity and Pharynx,14.9,7.1,4.4,38.6,5,1.2159,0.3609,3.1581,0.8129,"43,241",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male and Female,Not Polk,Not Polk,Oral Cavity and Pharynx,4.1,1.7,1.5,10.1,6,0.3386,0.1224,0.8264,0.0108,"214,229",1
Hispanic (All Races),Hispanic,2008-2012,Male and Female,Not Polk,Not Polk,Oral Cavity and Pharynx,2.9,1.1,1.2,6,8,0.2381,0.0959,0.4916,0.0000,"597,466",1
Non-Hispanic White,White,2008-2012,Male,Not Polk,Not Polk,Oral Cavity and Pharynx,18.8,0.5,17.8,19.9,"1,335",,,,,"5,854,720",
Non-Hispanic Black,Black,2008-2012,Male,Not Polk,Not Polk,Oral Cavity and Pharynx,11.3,2.9,6.4,19.5,16,0.6029,0.3405,1.0425,0.0757,"197,713",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male,Not Polk,Not Polk,Oral Cavity and Pharynx,20.4,10.2,5.5,71.2,4,1.0844,0.2936,3.7958,1.0000,"21,165",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male,Not Polk,Not Polk,Oral Cavity and Pharynx,7.8,3.6,2.5,22.2,5,0.4161,0.1317,1.1817,0.1256,"106,882",0
Hispanic (All Races),Hispanic,2008-2012,Male,Not Polk,Not Polk,Oral Cavity and Pharynx,4.2,2,1.3,10.4,5,0.2257,0.0686,0.5569,0.0001,"315,744",1
Non-Hispanic White,White,2008-2012,Female,Not Polk,Not Polk,Oral Cavity and Pharynx,6.5,0.3,5.9,7.1,529,,,,,"6,012,507",
Non-Hispanic Black,Black,2008-2012,Female,Not Polk,Not Polk,Oral Cavity and Pharynx,5.3,2.5,1.6,12.4,5,0.8208,0.2525,1.9235,0.8076,"171,962",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Female,Not Polk,Not Polk,Oral Cavity and Pharynx,9.2,9.2,0.2,46.5,1,1.4108,0.0356,7.1957,1.0000,"22,076",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Female,Not Polk,Not Polk,Oral Cavity and Pharynx,1.3,1.3,0,9.3,1,0.1971,0.005,1.4438,0.1753,"107,347",0
Hispanic (All Races),Hispanic,2008-2012,Female,Not Polk,Not Polk,Oral Cavity and Pharynx,1.6,0.9,0.3,5.3,3,0.2466,0.0495,0.8258,0.0147,"281,722",1
Non-Hispanic White,White,2013-2017,Male and Female,Not Polk,Not Polk,Oral Cavity and Pharynx,13.8,0.3,13.2,14.4,"2,193",,,,,"11,826,215",
Non-Hispanic Black,Black,2013-2017,Male and Female,Not Polk,Not Polk,Oral Cavity and Pharynx,10.4,2.2,6.6,15.5,28,0.7582,0.4817,1.1315,0.1958,"454,551",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male and Female,Not Polk,Not Polk,Oral Cavity and Pharynx,7.9,3.9,2.1,22.9,4,0.5719,0.1551,1.666,0.4869,"45,872",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male and Female,Not Polk,Not Polk,Oral Cavity and Pharynx,11.3,2.9,6.3,18.5,18,0.819,0.4539,1.349,0.5010,"291,193",0
Hispanic (All Races),Hispanic,2013-2017,Male and Female,Not Polk,Not Polk,Oral Cavity and Pharynx,8.0,1.9,4.8,12.4,25,0.5832,0.3491,0.9009,0.0127,"720,568",1
Non-Hispanic White,White,2013-2017,Male,Not Polk,Not Polk,Oral Cavity and Pharynx,20.4,0.5,19.4,21.5,"1,553",,,,,"5,869,665",
Non-Hispanic Black,Black,2013-2017,Male,Not Polk,Not Polk,Oral Cavity and Pharynx,16.0,4.1,9,26.1,21,0.7822,0.4403,1.2813,0.3832,"244,333",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male,Not Polk,Not Polk,Oral Cavity and Pharynx,12.5,7.2,2.6,45.1,3,0.613,0.1257,2.2139,0.7521,"22,541",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male,Not Polk,Not Polk,Oral Cavity and Pharynx,14.0,5,6.1,27.6,10,0.6867,0.2958,1.3522,0.3407,"147,414",0
Hispanic (All Races),Hispanic,2013-2017,Male,Not Polk,Not Polk,Oral Cavity and Pharynx,10.4,3,5.4,17.8,17,0.51,0.2638,0.8744,0.0113,"377,294",1
Non-Hispanic White,White,2013-2017,Female,Not Polk,Not Polk,Oral Cavity and Pharynx,7.6,0.3,7,8.2,640,,,,,"5,956,550",
Non-Hispanic Black,Black,2013-2017,Female,Not Polk,Not Polk,Oral Cavity and Pharynx,5.0,2.1,1.8,10.8,7,0.6598,0.2382,1.4352,0.3783,"210,218",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Female,Not Polk,Not Polk,Oral Cavity and Pharynx,3.5,3.5,0.1,26.1,1,0.4598,0.0116,3.4497,0.9389,"23,331",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Female,Not Polk,Not Polk,Oral Cavity and Pharynx,9.2,3.6,3.6,18.8,8,1.208,0.4678,2.4992,0.7388,"143,779",0
Hispanic (All Races),Hispanic,2013-2017,Female,Not Polk,Not Polk,Oral Cavity and Pharynx,5.6,2.3,2.1,11.5,8,0.7404,0.2752,1.5261,0.4855,"343,274",0
Non-Hispanic White,White,2018-2022,Male and Female,Not Polk,Not Polk,Oral Cavity and Pharynx,14.8,0.3,14.2,15.5,"2,431",,,,,"11,700,594",
Non-Hispanic Black,Black,2018-2022,Male and Female,Not Polk,Not Polk,Oral Cavity and Pharynx,7.8,1.6,5,11.7,27,0.5276,0.3348,0.7903,0.0009,"546,906",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male and Female,Not Polk,Not Polk,Oral Cavity and Pharynx,19.1,7.5,7.4,39.3,7,1.2863,0.4973,2.6516,0.6285,"49,345",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male and Female,Not Polk,Not Polk,Oral Cavity and Pharynx,12.4,2.4,8.1,18.1,29,0.8329,0.5435,1.2219,0.4006,"336,483",0
Hispanic (All Races),Hispanic,2018-2022,Male and Female,Not Polk,Not Polk,Oral Cavity and Pharynx,6.5,1.4,4.1,9.7,30,0.4377,0.2748,0.6546,0.0000,"843,681",1
Non-Hispanic White,White,2018-2022,Male,Not Polk,Not Polk,Oral Cavity and Pharynx,22.2,0.6,21.1,23.3,"1,750",,,,,"5,831,071",
Non-Hispanic Black,Black,2018-2022,Male,Not Polk,Not Polk,Oral Cavity and Pharynx,12.2,2.9,7.1,19.6,21,0.5488,0.3192,0.8863,0.0109,"293,761",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male,Not Polk,Not Polk,Oral Cavity and Pharynx,40.1,16.9,14.1,85.7,6,1.8073,0.6362,3.871,0.2586,"24,139",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male,Not Polk,Not Polk,Oral Cavity and Pharynx,18.2,4.2,10.9,28.9,21,0.8207,0.4918,1.3054,0.4855,"170,572",0
Hispanic (All Races),Hispanic,2018-2022,Male,Not Polk,Not Polk,Oral Cavity and Pharynx,10.6,2.5,6.2,16.6,24,0.4767,0.2782,0.7523,0.0007,"441,297",1
Non-Hispanic White,White,2018-2022,Female,Not Polk,Not Polk,Oral Cavity and Pharynx,8.0,0.3,7.3,8.6,681,,,,,"5,869,523",
Non-Hispanic Black,Black,2018-2022,Female,Not Polk,Not Polk,Oral Cavity and Pharynx,3.3,1.4,1.2,7.4,6,0.4097,0.1441,0.9314,0.0289,"253,145",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Female,Not Polk,Not Polk,Oral Cavity and Pharynx,2.7,2.7,0.1,20.7,1,0.3446,0.0087,2.6143,0.6903,"25,206",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Female,Not Polk,Not Polk,Oral Cavity and Pharynx,7.1,2.6,2.9,14.2,8,0.8945,0.3665,1.7965,0.8970,"165,911",0
Hispanic (All Races),Hispanic,2018-2022,Female,Not Polk,Not Polk,Oral Cavity and Pharynx,2.4,1.1,0.7,5.6,6,0.2969,0.0871,0.7064,0.0025,"402,384",1
Non-Hispanic White,White,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Digestive System,36.0,1.5,33.2,39,616,,,,,"1,689,105",
Non-Hispanic Black,Black,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Digestive System,70.5,10.6,51.3,93.9,47,1.9587,1.4108,2.6431,0.0001,"115,761",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Digestive System,0.0,,0,128.6,0,0,0,3.5833,0.5389,"5,859",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Digestive System,78.3,18.5,46.4,121.7,23,2.1756,1.2799,3.4116,0.0050,"67,567",1
Hispanic (All Races),Hispanic,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Digestive System,49.3,13.6,26.3,82.3,20,1.3691,0.7271,2.3055,0.3297,"120,193",0
Non-Hispanic White,White,2003-2007,Male,IA: Polk County (19153),Polk County,Digestive System,48.5,2.7,43.4,53.9,350,,,,,"817,157",
Non-Hispanic Black,Black,2003-2007,Male,IA: Polk County (19153),Polk County,Digestive System,104.5,21.8,66.2,154.8,29,2.1555,1.3469,3.249,0.0018,"57,878",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male,IA: Polk County (19153),Polk County,Digestive System,0.0,,0,277.4,0,0,0,5.751,0.7538,"2,859",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male,IA: Polk County (19153),Polk County,Digestive System,128.1,37.8,65.1,220.9,16,2.6422,1.3297,4.6165,0.0069,"33,249",1
Hispanic (All Races),Hispanic,2003-2007,Male,IA: Polk County (19153),Polk County,Digestive System,47.0,17.4,19.4,99.2,11,0.9705,0.3965,2.0691,1.0000,"64,203",0
Non-Hispanic White,White,2003-2007,Female,IA: Polk County (19153),Polk County,Digestive System,27.1,1.7,23.9,30.6,266,,,,,"871,948",
Non-Hispanic Black,Black,2003-2007,Female,IA: Polk County (19153),Polk County,Digestive System,48.8,11.7,28.7,76.7,18,1.7997,1.0418,2.883,0.0356,"57,883",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Female,IA: Polk County (19153),Polk County,Digestive System,0.0,,0,325.2,0,0,0,12.0609,1.0000,"3,000",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Female,IA: Polk County (19153),Polk County,Digestive System,43.9,18.7,15.3,93.6,7,1.6176,0.5577,3.4975,0.3752,"34,318",0
Hispanic (All Races),Hispanic,2003-2007,Female,IA: Polk County (19153),Polk County,Digestive System,47.5,18.4,18.6,95.4,9,1.7522,0.6788,3.5654,0.2404,"55,990",0
Non-Hispanic White,White,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Digestive System,37.9,1.4,35.1,40.8,724,,,,,"1,764,762",
Non-Hispanic Black,Black,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Digestive System,62.0,8.6,46.3,81.1,57,1.6352,1.2084,2.1637,0.0017,"143,423",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Digestive System,0.0,,0,104.5,0,0,0,2.7644,0.4401,"5,807",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Digestive System,51.7,12.9,29.6,82.2,22,1.3648,0.7776,2.1848,0.2764,"83,752",0
Hispanic (All Races),Hispanic,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Digestive System,65.5,14,40.9,97.7,26,1.728,1.0727,2.5977,0.0254,"164,122",1
Non-Hispanic White,White,2008-2012,Male,IA: Polk County (19153),Polk County,Digestive System,51.5,2.6,46.6,56.8,432,,,,,"858,098",
Non-Hispanic Black,Black,2008-2012,Male,IA: Polk County (19153),Polk County,Digestive System,82.5,15.1,55.7,117.8,36,1.6028,1.0668,2.3238,0.0237,"72,531",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male,IA: Polk County (19153),Polk County,Digestive System,0.0,,0,233.8,0,0,0,4.5588,0.7099,"2,758",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male,IA: Polk County (19153),Polk County,Digestive System,65.7,20.2,32.3,118.7,15,1.277,0.6219,2.3295,0.5178,"41,086",0
Hispanic (All Races),Hispanic,2008-2012,Male,IA: Polk County (19153),Polk County,Digestive System,92.8,25.7,49.4,154.6,17,1.8028,0.952,3.0371,0.0695,"86,055",0
Non-Hispanic White,White,2008-2012,Female,IA: Polk County (19153),Polk County,Digestive System,27.4,1.6,24.3,30.8,292,,,,,"906,664",
Non-Hispanic Black,Black,2008-2012,Female,IA: Polk County (19153),Polk County,Digestive System,43.0,9.5,26.4,65.7,21,1.5671,0.9462,2.4442,0.0801,"70,892",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Female,IA: Polk County (19153),Polk County,Digestive System,0.0,,0,203.8,0,0,0,7.4772,1.0000,"3,049",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Female,IA: Polk County (19153),Polk County,Digestive System,39.0,16.3,13.8,81.4,7,1.4219,0.4999,3.0037,0.5234,"42,666",0
Hispanic (All Races),Hispanic,2008-2012,Female,IA: Polk County (19153),Polk County,Digestive System,42.9,14.9,18.8,80.7,9,1.5632,0.678,2.9848,0.2914,"78,067",0
Non-Hispanic White,White,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Digestive System,40.2,1.4,37.4,43,843,,,,,"1,847,141",
Non-Hispanic Black,Black,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Digestive System,72.8,10,54.6,94.7,65,1.8135,1.3477,2.3811,0.0001,"171,274",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Digestive System,54.0,31.2,11.1,249.1,3,1.3437,0.2759,6.2199,0.7740,"5,085",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Digestive System,79.1,13.8,54.4,110.2,41,1.9704,1.3449,2.7666,0.0007,"111,119",1
Hispanic (All Races),Hispanic,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Digestive System,62.0,11.7,41.3,88.5,41,1.5449,1.0212,2.2211,0.0398,"198,954",1
Non-Hispanic White,White,2013-2017,Male,IA: Polk County (19153),Polk County,Digestive System,50.9,2.4,46.2,55.8,480,,,,,"902,988",
Non-Hispanic Black,Black,2013-2017,Male,IA: Polk County (19153),Polk County,Digestive System,90.5,16.7,60.7,129,39,1.78,1.1803,2.5715,0.0067,"87,048",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male,IA: Polk County (19153),Polk County,Digestive System,92.9,65.7,11.2,485.7,2,1.8262,0.2204,9.5984,0.6002,"2,289",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male,IA: Polk County (19153),Polk County,Digestive System,85.7,19.8,51.4,133.6,23,1.6857,1.0002,2.6574,0.0499,"55,242",1
Hispanic (All Races),Hispanic,2013-2017,Male,IA: Polk County (19153),Polk County,Digestive System,83.0,19.4,49.5,128.6,29,1.6319,0.9635,2.5571,0.0678,"103,300",0
Non-Hispanic White,White,2013-2017,Female,IA: Polk County (19153),Polk County,Digestive System,31.5,1.7,28.3,35,363,,,,,"944,153",
Non-Hispanic Black,Black,2013-2017,Female,IA: Polk County (19153),Polk County,Digestive System,55.0,11.5,34.9,81.6,26,1.7482,1.094,2.6351,0.0203,"84,226",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Female,IA: Polk County (19153),Polk County,Digestive System,26.3,26.3,0.7,576.1,1,0.8359,0.0211,18.3748,1.0000,"2,796",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Female,IA: Polk County (19153),Polk County,Digestive System,69.6,18,39,112.3,18,2.2107,1.2231,3.6156,0.0098,"55,877",1
Hispanic (All Races),Hispanic,2013-2017,Female,IA: Polk County (19153),Polk County,Digestive System,41.3,13.7,18.9,75.5,12,1.312,0.5961,2.4267,0.5127,"95,654",0
Non-Hispanic White,White,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Digestive System,42.9,1.4,40.2,45.7,"1,004",,,,,"1,889,355",
Non-Hispanic Black,Black,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Digestive System,79.4,10.3,60.5,101.9,80,1.8525,1.3995,2.3977,0.0000,"199,321",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Digestive System,174.5,86,48.8,670.2,5,4.0707,1.1348,15.6717,0.0330,"4,957",1
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Digestive System,71.2,12.2,49.3,98.6,43,1.6612,1.1424,2.3152,0.0086,"132,262",1
Hispanic (All Races),Hispanic,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Digestive System,57.1,10.1,38.9,79.7,48,1.3311,0.9029,1.8723,0.1469,"240,639",0
Non-Hispanic White,White,2018-2022,Male,IA: Polk County (19153),Polk County,Digestive System,53.8,2.3,49.4,58.6,576,,,,,"927,905",
Non-Hispanic Black,Black,2018-2022,Male,IA: Polk County (19153),Polk County,Digestive System,144.1,25.9,97.8,201.7,55,2.6754,1.7981,3.7911,0.0000,"102,863",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male,IA: Polk County (19153),Polk County,Digestive System,351.9,198.5,76.3,"1,104.10",4,6.5362,1.4125,20.6072,0.0196,"2,289",1
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male,IA: Polk County (19153),Polk County,Digestive System,117.1,25.1,73.2,174.7,31,2.1752,1.3478,3.2778,0.0020,"66,340",1
Hispanic (All Races),Hispanic,2018-2022,Male,IA: Polk County (19153),Polk County,Digestive System,71.6,17.9,40.9,113.1,25,1.3297,0.7538,2.1192,0.3250,"124,784",0
Non-Hispanic White,White,2018-2022,Female,IA: Polk County (19153),Polk County,Digestive System,34.1,1.7,30.9,37.7,428,,,,,"961,450",
Non-Hispanic Black,Black,2018-2022,Female,IA: Polk County (19153),Polk County,Digestive System,39.8,8.6,24.8,60.2,25,1.1649,0.7182,1.7863,0.5514,"96,458",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Female,IA: Polk County (19153),Polk County,Digestive System,48.3,48.3,1.2,448.6,1,1.4135,0.0357,13.2007,1.0000,"2,668",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Female,IA: Polk County (19153),Polk County,Digestive System,37.4,11.9,17.9,66.9,12,1.0963,0.5197,1.9788,0.8651,"65,922",0
Hispanic (All Races),Hispanic,2018-2022,Female,IA: Polk County (19153),Polk County,Digestive System,48.2,12.3,27.2,77.6,23,1.4108,0.7881,2.2993,0.2445,"115,855",0
Non-Hispanic White,White,2003-2007,Male and Female,Not Polk,Not Polk,Digestive System,33.9,0.5,33,34.9,"5,083",,,,,"11,868,621",
Non-Hispanic Black,Black,2003-2007,Male and Female,Not Polk,Not Polk,Digestive System,52.8,6.6,40.7,67.1,74,1.5558,1.1977,1.9798,0.0012,"297,762",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male and Female,Not Polk,Not Polk,Digestive System,84.0,26.5,40.3,148.9,13,2.4756,1.1872,4.3929,0.0173,"41,129",1
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male and Female,Not Polk,Not Polk,Digestive System,46.2,8.2,31.6,65.5,40,1.3631,0.9289,1.9345,0.1117,"172,165",0
Hispanic (All Races),Hispanic,2003-2007,Male and Female,Not Polk,Not Polk,Digestive System,40.0,5.5,29.9,52.2,64,1.179,0.8792,1.5399,0.2703,"463,782",0
Non-Hispanic White,White,2003-2007,Male,Not Polk,Not Polk,Digestive System,43.6,0.8,42,45.3,"2,860",,,,,"5,829,578",
Non-Hispanic Black,Black,2003-2007,Male,Not Polk,Not Polk,Digestive System,53.4,9.5,36.5,75.2,40,1.2246,0.8348,1.7278,0.2992,"158,622",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male,Not Polk,Not Polk,Digestive System,80.3,35.2,26.8,185.8,7,1.8402,0.6137,4.2642,0.2678,"19,986",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male,Not Polk,Not Polk,Digestive System,80.9,17.4,50.6,122.8,29,1.8554,1.157,2.8214,0.0114,"85,399",1
Hispanic (All Races),Hispanic,2003-2007,Male,Not Polk,Not Polk,Digestive System,52.8,9.5,35.8,74.4,42,1.2109,0.82,1.7092,0.3361,"248,052",0
Non-Hispanic White,White,2003-2007,Female,Not Polk,Not Polk,Digestive System,26.1,0.6,25,27.3,"2,223",,,,,"6,039,043",
Non-Hispanic Black,Black,2003-2007,Female,Not Polk,Not Polk,Digestive System,48.4,8.6,33.1,67.9,34,1.8542,1.2631,2.6065,0.0021,"139,140",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Female,Not Polk,Not Polk,Digestive System,67.8,28.9,23.6,145.7,6,2.5967,0.9012,5.5843,0.0749,"21,143",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Female,Not Polk,Not Polk,Digestive System,21.1,6.8,9.9,41,11,0.8079,0.379,1.5733,0.6699,"86,766",0
Hispanic (All Races),Hispanic,2003-2007,Female,Not Polk,Not Polk,Digestive System,28.7,6.5,17.5,43.9,22,1.1002,0.6675,1.6852,0.7356,"215,730",0
Non-Hispanic White,White,2008-2012,Male and Female,Not Polk,Not Polk,Digestive System,36.5,0.5,35.5,37.5,"5,770",,,,,"11,867,227",
Non-Hispanic Black,Black,2008-2012,Male and Female,Not Polk,Not Polk,Digestive System,58.5,6.3,46.9,72,104,1.6038,1.283,1.9749,0.0001,"369,675",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male and Female,Not Polk,Not Polk,Digestive System,69.4,16.3,41.2,110.1,21,1.9022,1.1278,3.0183,0.0171,"43,241",1
